Unnamed: 0,Направление,Дата создания,Текст
136,Роспотребнадзор,2022-02-23,"Здравствуйте. Спешу сообщить, что в школе 475 в п. Парголово массово присутствуют тараканы, которых дети могут принести домой. А также дети неоднократно получали отравления от еды. Прошу вас провести проверку по данному вопросу и обязать школу, чтоб провели профилактику по уничтожению тараканов."
137,Благоустройство,2022-02-23,Сообщение без текста
138,Социальное обслуживание и защита,2022-02-23,"Здравствуйте!<br>На официальном сайте так и не смогла найти информацию, осуществляет ли теперь личный прием граждан губернатор Санкт-Петербурга?"
139,Благоустройство,2022-02-23,"Правительство Санкт-Петербурга, а нельзя ли выделить немножко денег и привести в порядок площадку для выгула на улице Верности? Когда дверь приходится класть на землю, а потом ставить обратно, это несколько неудобно. Когда нет части бума, тоже мало приятного.<br>А дорожку перед входом, похоже, не чистят в принципе. Видимо, поэтому и дверь сломана - невозможно её открыть и закрыть, если вокруг все в снегу поколено."
140,Торговля,2022-02-23,"А шаверма возле метро Академическая, точнее возле остановки наземного транспорта. Типо далеко от метро?"
141,Торговля,2022-02-23,А воз и ныне там ....<br>А вот цевилизованная торговля у метро Гражданский проспект..
142,Торговля,2022-02-23,Только вчера был на Академической. Торгаши стоят.
143,ЦУР,2022-02-23,"[club23904|Калининский район Санкт-Петербурга], больше шаблонных ответов с несуществующей информацией присылать не планируете? Где ответ на мой вопрос - каким образом уменьшилась нагрузка, если даже к участковому терапевту чисто физически не попасть, как видно по моему фото из поликлиники?"
144,Учреждения культуры,2022-02-23,"Уважаемая Администрация района, объясните пожалуйста в связи с чем вдруг Вы с осени 2021 года (а именно с дня рождения нашего города Колпино) перенесли вдруг место проведения фейерверков и салютов?<br>Салют прекрасно запускали с пляжа или с воды в разливе реки.<br>Зачем Вы перенесли место запуска салютов в парк на Чухонке?<br>Это загубит обитателей парка. Вы же сами проводите акции с молодежью и фотографии размещаете с них в своей группе, как дети кормят птиц, белок, делают кормушки. Экорайон, Белкин район у нас, а по факту всё ложь!<br>Парк на Чухонке не место для салютов!!!"
145,Учреждения культуры,2022-02-23,"Уважаемая Администрация района, объясните пожалуйста в связи с чем вдруг Вы с сентября 2021 года (а именно с дня рождения нашего города Колпино) перенесли место проведения фейерверков и салютов?<br>Салют всегда запускали с пляжа и с реки напротив Гребной школы.<br>Зачем Вы перенесли место запуска салютов в парк на Чухонке?<br>Это загубит обитателей парка, могут пострадать деревья!<br>❗Вы же сами проводите акции с молодежью и фотографии размещаете с этих акций в своей группе, как дети кормят птиц, белок, делают кормушки. Пишите, что Экорайон, Белкин район у нас в Колпино, а по факту получается, что всё это зря! Вам не кажется, что это не стыкуется с Вашими другими действиями?<br>Парк на Чухонке не место для салютов!!!<br>Это место для отдыха и любования тишиной и природой!<br>❗Салют на 9 мая тоже там будет среди деревьев, где птицы весной как раз в это время на гнездах сидят???<br>❗ В первом классе на Окружающем мире учат детей, чтобы птиц берегли! Птиц не будет, гусеницы и жуки сожрут деревья!<br>И так кругом в Колпино одни вороны в огромном количестве. Только в парке птицы остались хоть какие-то.<br>Задумайтесь, что Вы делаете! Всё должно быть в гармонии в городе.<br>Ждём ответа от Вас."
146,Социальное обслуживание и защита,2022-02-23,"Добрый день! Обращаюсь к Вам от имени моей мамы. В 2020 году, после проверки газа газовщики сказали, что плита у мамы не пригодна для использования. Брат( Дмитриев Андрей) встал на очередь( он имеет инвалидность) на получение плиты. Пришло положительное решение и его включили в список на 2021 год. Но плиту так никто и не привёз. В этом году, после проверки газа вообще запретили пользоваться духовкой. Брат позвонил по указанному телефону, но ему сказали, что ни в каких списках он не числится. Как так то? Как нам разобраться в этой ситуации? Куда обращаться? Как могли снять с очереди не предупредив и не объяснив причину? Помогите, пожалуйста в этой ситуации. Или подскажите, куда обращаться. Красногвардейский район"
147,Здравоохранение/Медицина,2022-02-23,"Здравствуйте! Прошу ответить мне на вопрос- почему в поликлинике #54 больным сахарным диабетом выписывают по 3 упаковки тест-полосок, а а поликлинике #120 по Две упаковки? Мне необходимо измерять сахар 3 раза в день. Выдаваемые мне 2 упаковки(это 100 тест-полосок) хватает на 33 дня! Мне приходиться докупать на сумму более З- х тысяч рублей! Я инвалид 3 группы и пенсионер! Прошу дать мне ответ! С уважением Владимир Филиппов."
148,Дороги,2022-02-23,"Вы сначала уберите незаконную стоянку и незаконную дорогу в Новой Охте,и предоставьте наконец проект новоохтинского парка,и после этого ,берете своих коллег из думы и вперёд на Донбасс ."
149,Строительство и архитектура,2022-02-23,"На Энтузиастов, когда снесете здание долгострой, ????"
150,ЖКХ,2022-02-23,"Здравствуйте Александр Дмитриевич! Подскажите пожалуйста когда будут проводиться работы по установке плитки и пандусов для колясок! С момента моего первого обращения не произошло нечего! Прошу потребовать у подрядной организации установку временных пандусов для колясок, раз работы замороженны и не планируются выполняться с 12.10.21. ситуация не меняется совершенно. Повторюсь что из за халатного отношения к выполняемым работам моя супруга находящаяся на 7 месяце беременности вынужденна с 2-х годовалым ребенком каждый день поднимать и спускать коляску вручную по высокой непреспособленной лестнице."
151,ЖКХ,2022-02-23,"я за то, чтобы помогать, но, может, стоит сначала у себя навести порядок?! в центре города люди живут в квартирах без душа и горячей воды. не надо тут патриотическими картинками разбрасываться."
152,Благоустройство,2022-02-23,"Это газон напротив дома Ильюшина 2, и скоро оттепель и здесь такого намесят, я полагаю газона у нас больше не будет. Писали в ГАТИ, звонили в ГИБДД, а ""воз"" и ныне там ... Помогите пожалуйста."
153,Дороги,2022-02-23,"Здравствуйте Уважаемый Александр Дмитриевич. Очень жаль что никому ничего не надо. С этим беспределом я начал бороться с начала января, писал в ГАТИ и в Комитет по Благоустройству, и Вам, но увы вот сегодняшнее фото, уже в два ряда ..."
154,Благоустройство,2022-02-23,"Добрый день!<br>Пишу вам с просьбой посодействовать в ограждении нашей дорожки к парадной по адресу Бестужевская 61, парадная 4.<br>Куда я только не обращалась везде отказ. Дело в том, что у нас постоянно разворачиваются и паркуются автомобили, прямо на дорожке к парадной. Водителям все равно на жителей данного дома. Вечерами не пройти к парадной, так как сейчас и сугробы кругом. Летом портят газон. Просили писали в ЖКС-3 но всегда отписка, со словами что данная земля является собственностью собственников данного дома. Иными словами нужно собрание жильцов для голосования о постановки ограждений. Сделать это очень сложно, так как у нас нет главного по дому. Так же не найти и собственников, потому что они сдают своё жильё.<br>Я прошу помочь нам. Может можно просто вкопать две трубы, что бы никто не ездил и не парковался на дорожке.<br>Фото прилагаю."
155,Общественный транспорт,2022-02-23,"[id211062055|Володя], а пенсию чтобы увеличили к кому обратиться? А проиндексировали пенсию работающим пенсионерам? А метро чтобы наконец-то в Петербурге сделали куда нужно обращаться? Продолжать?"
156,Дороги,2022-02-23,"Обратная связь (Сообщить о проблеме)
Информационное сообщение сайта Национальные проекты России_x000D_
_x000D_
------------------------------------------_x000D_
_x000D_
Вам было отправлено сообщение через форму обратной связи_x000D_
_x000D_
Раздел: Сообщить о проблеме_x000D_
_x000D_
Подробно расскажите о своей ситуации_x000D_
_x000D_
Когда планируется ремонт и что именно планируется сделать на дороге находящейся по адресу Ленинградская область, Кировский муниципальный район, Мгинское городское поселение, а/д "" 13 км автодороги ""Магистральная"" - ж/д станция Апраксин"" ?_x000D_
_x000D_
Как вы думаете, под какой национальный проект подходит ваша инициатива?_x000D_
_x000D_
Безопасные качественные дороги_x000D_
_x000D_
---_x000D_
_x000D_
Контактные данные_x000D_
_x000D_
Имя: Евгений_x000D_
_x000D_
Эл. почта: iev777@mail.ru_x000D_
_x000D_
Местоположение: г Санкт-Петербург_x000D_
_x000D_
---_x000D_
_x000D_
Сообщение сгенерировано автоматически._x000D_
_x000D_
"
157,ЖКХ,2022-02-23,"У меня один вопрос - когда в отношении ООО ЖКС 2 Невского района будет рассмотрен вопрос о лишении данной организации лицензии на оказание жилищно-коммунальных услуг на основании того, что данная организация на постоянной основе игнорирует законодательство РФ или в Санкт-Петербурге нормы права РФ уже не действуют? Почему сотрудники ОЖИ постоянно закрывают глаза (и исходя из чего?) на те безобразия, что творит данная уошка? При очистке снега и наледи с крыши разбили балконное окно - срок восстановления в зимний период 24 часа, но сотрудники УК старательно бегали от меня, пока я естественно не провела ремонт. Зато получила от них ответ - УК заключила договор с ип ""рогаикопыта"" вот с них и спрашивайте. Повторяю вопрос к ГЖИ - когда будут приняты КОНКРЕТНЫЕ меры в отношении этой ук?"
158,Безопасность,2022-02-23,"[id11896797|Елена], а почему наши дети должны оставаться без лагерей и детских садов из-за чужих? Сейчас ещё уплотнят очереди. Ждали до школы в некоторых районах, теперь вообще без вариантов. Почему Питер, если на нашей огромной территории полно других городов, с меньшей плотностью населения. И да, пусть едут в Воркуту. Мы и так задыхаемся от мигрантов и понаехавших за хорошей жизнью."
159,Безопасность,2022-02-23,"Хотелось бы знать, за чей счёт этот ""банкет""?"
160,Благоустройство,2022-02-23,Почему работы в Парке Сахарова проводятся с нарушениями? https://vk.com/parksaharova?w=wall-169433482_6355
161,Социальное обслуживание и защита,2022-02-23,"Добрый день,скажите пожалуйста,если у меня нет собственного жилья,у меня двое детей,младшей 3 месяца,прописаны и проживаем в квартире родственника,могу ли я расчитывать на субсидию?"
162,Строительство и архитектура,2022-02-23,"Добрый день, я дольщица 2 корпуса, вы дом объявили, что сдали, но вот его реальное состояние осталяет много вопросов. Которые ПС не собирается по видимому исправлять. А как же людям жить в таком качестве дома. Почему Лидер не может доделать 2 корпус до ума, сколько можно мучить людей с этим ПС.<br>Отвратительно все организовано, наша ИГ вечно идёт на стройку, как в бой. Приведите дом в нормальное состояние, соответствующее для жизни там. А то везде недочёты, недоделки, замечения ...<br>Это кошмар, а не дом!!!"
163,Законность и правопорядок,2022-02-23,Штрафы за парковку присылают не законно
164,Благоустройство,2022-02-23,Добрый день) снова я) опять туристы ( машины уже не знают как порковаться
165,Дороги,2022-02-23,"Скажите, пожалуйста, почему служебные автомобили не могут пользоваться льготами при пользовании платной парковкой? Почему они вынуждены нарушать ПДД? Вот, например, фото сделано 21 февраля (в этот понедельник) в 19:10. Водитель а/м с ГРЗ Н115ВВ178 вынужден был нарушить сразу 2 пункта ПДД (остановка по запрещающим знаком + остановка ближе 15 метров от остановки ОТ, создав препятствие движению ОТ), ожидая своего руководителя. Хотя платные парковочные места за остановкой были свободны. Почему бы вам не предоставить БЕСПЛАТНУЮ парковку служебным автомобилям? Чтобы они не платили по 6000 рублей штрафов в день."
166,Дороги,2022-02-23,"Всем вообще плевать как они будут оплачивать парковку, просто никак не будут оплачивать! На моей улице все стоят машины с закрытыми номерами."
167,Строительство и архитектура,2022-02-23,"Добрый вечер Александр Дмитриевич! Я встаю на работу в 5-30, а стройка школы работает круглосуточно! Единственную дорогу разбили в пух и прах, 397 автобус единственный больше не ходит, раз! Ночью не высыпаться два! Так как работает стройка 24 часа. Прошу мне выплачивать зп с вашей так как это беспредел! Про остальное просто слов нет)))))) грабёж, убийства и т.д..... Мусор вывозиться раз в 3 дня, дороги не чистят,автобуса нет!!!!! Круто! До беды не далеко осталось....."
168,Общественный транспорт,2022-02-23,"[club187956888|Комитет по транспорту], а не планируется ли в рамках перехода к новой транспортной модели или вообще в перспективе, создание тарифной сетки в пригородно-городском железнодорожном сообщении аналогичной тарифной сетке МЦД, чтобы не приходилось покупать билет на электричку отдельно, а по принципу приложил транспортную карту и поехал?<br>Также хотелось бы задать такой вопрос. Несколько профильных железнодорожных газет писали, о том что начато проектирование нового моторвагонного депо ""Парнас"", можете ли прокомментировать какой проектный институт ведёт проектирование (если в курсе), и где именно на территории промзоны Парнас предполагается его размещение?"
169,Общественный транспорт,2022-02-23,"Товарищ Беглов,вы там в Смольном что курите или таблетки какие принимаете???? Можно потребитель САМ будет решать как оплачивать проезд в транспорте. НАЛИЧНЫМИ ИЛИ КАРТОЙ!!! Прекратите заниматься фигнёй!!! Оставьте народ в покое вы надоели уже своими реформами."
170,Безопасность,2022-02-23,"Здравствуйте! Подскажите, по поводу сбора гумм помощи беженцам, вопрос: адрес сбора один, на конногвардейском? В новостях нашла только этот адрес в СПб и просьбу придерживаться списка, а сам список не могу найти"
171,Коронавирус,2022-02-23,"Здравствуйте! Заболели на работе в больнице ковидом, заразились от пациентов. Полагаются ли выплаты младшему медицинскому персоналу? И куда обращаться, если начальство говорит, что мы ничего не должны получить?"
172,Коронавирус,2022-02-23,"Здравствуйте! Скажите пожалуйста, с какого числа будут возможны посещения в спортклубах Петербурга без кодов?"
173,Здравоохранение/Медицина,2022-02-23,"Здравствуйте,Александр Дмитриевич.<br>Прошу Вас помочь мне получить лекарственные препараты по Федеральной льготе( онкобольная 4ст.,инвалид).С 24.11.2021 препараты на отсроченном обслуживании в аптеке ул.Купчинская,32.Комитет здравоохранения не отвечает.Вроде,по закону в течение 15 дней аптека должна сделать заказ...Жду 3 месяца...Прошу Вас помочь."
174,Здравоохранение/Медицина,2022-02-23,"Александр Дмитриевич, здравствуйте! С праздником Вас поздравляю! Здоровья и успехов. Обращаюсь к Вам с просьбой решить проблему с получением бесплатного лекарства. С 28-го декабря 2021 года по сегодня нет в наличии в рецептурных отделах лекарства: галвус. Вынуждена покупать. Пенсия не большая. Диагноз обязывает принимать это лекарство ежедневно. Цены на лекарства не соразмерно нашим доходам. Прошу Вас разобраться в сложившейся ситуации."
175,Социальное обслуживание и защита,2022-02-23,"Может город наконец то выделит достаточные средства на обеспечение инвалидов подгузниками?!!! Уже заканчивается февраль, а тендера на закупки нет до сих пор!!! Это значит что во первых- цену такую город даёт, что никто не хочет участвовать и во вторых- инвалиды получать подгузники в лучшем случае в конце марта. И поскольку город за прошедшее время не даёт, то государство сэкономило на самых незащищенных 3 месяца обеспечения. А возмещение за купленные памперсы 25 ₽ за штуку!!! Где они видели такие цены?!!! А беженцам оказывать помощь у города есть средства! Хочется спросить наши граждане хуже их?"
176,Погребение и похоронное дело,2022-02-23,"Добрый день! У меня огромное горе-15 февраля умерла мама. Преклонный возраст(85 лет), наличие тяжёлых хронических заболеваний, инвалидность, с 2018 года-лежачая больная. Мама умерла дома, поэтому тело было отправлено в морг на Екатерининский,10.<br>Сегодня, 23 февраля-уже девятый(!!!) день после смерти, но похоронить маму я не могу, т.к. при вскрытии(19 февраля) выявлена пневмония и мне сказали, что нужно ждать разрешение от РосПотребНадзора. Я в отчаянии, из-за волнения постоянно повышается давление, постоянно плачу. Неужели статистика важнее возможности проститься с умершей мамой и предать тело земле? Никто не может ответить, когда будет ответ РосПотребНадзора, а главное, зачем нужно это ожидание? Даже если не будет подтверждения ковида, после такого длительного нахождения тела без захоронения проводить похороны в открытом гробу будет невозможно. Почему нельзя разрешить захоронение в закрытом гробу без ожидания ответа РПН? Я не знаю, куда обратиться с этим вопросом. Я понимаю, что необходимо строго соблюдать санитарно-эпидемиологические меры, но чем опасно захоронение тела в закрытом гробу?<br>Извините за эмоциональный текст, но у меня всё просто валится из рук. Куда обратиться за помощью, подскажите, пожалуйста."
177,Здравоохранение/Медицина,2022-02-23,"[id15133835|Оксана], в боксы почему то записываются на вечер. там вечером талонов нет. а вот с утра есть свободные.. я только про свою поликлинику если что.."
178,Образование,2022-02-23,"Раскажите пожалуйста о КАС Есенина, Сиреневый бульвар 1, щас очень сильно истерят! Вроде школу собираются строить!"
179,Благоустройство,2022-02-23,Брошена машина в конце геологической в сторону кутузи!!!!! 11:55
180,Благоустройство,2022-02-23,"ну что, добились своего?"
181,Торговля,2022-02-23,Сообщение без текста
182,Мусор/Свалки/ТКО,2022-02-23,"Я несколько раз задавал вопрос, не а который вы не ответили. Вероятно не заметили. Я продублирую его ещё раз:<br>Добрый день, ещё раз продублирую мой вопрос с дополнениями:<br>Подскажите где находятся контейнерные площадки для мусора и как организован вывоз мусора в пос. Александровская на территории ограниченной Приморским шоссе, Горским ручьем, Финским заливом и Тарховским лесопарком. А точнее: Ручейная ул, 1я и 2я Луговая, Б.Купальная, Приморское шоссе дома с 170 по 252, Старая улица, Приморская улица, Тарховская ул, Песчаная ул.<br>Жители неоднократно связывались с ""Невский экологический оператор"" по телефону 213 07 10 и оставляли заявки на вывоз мусора. Никаких вразумительных ответов ни о сроках вывоза, ни о расположении контейнерных площадок для мусора на обозначенной территории не получили. Мусор копится в геометрической прогрессии."
183,Мусор/Свалки/ТКО,2022-02-23,"Коротко о нашем дворе: контейнеры новые установили, а вывозить мусор не вывозят"
184,Мусор/Свалки/ТКО,2022-02-23,"- мусор не вывозят<br>- третью машину в семье парковать негде, где парковочные места<br>- год как в человейнике квартиру купили, а автостраду и метро к дому не провели"
185,Мусор/Свалки/ТКО,2022-02-23,"Петроградский район ,ул.Рыбацкая , дом 4.<br>На помойке всегда завал мусора ,контейнеры грязные ,переполнены,стоят вне зоны площадки.<br>До НГ был идеальный порядок .СПАСИБО нашим дворникам и прежнему оператору по мусору.<br>Может вернуть прежнею схему ? За 1,5 месяца новый оператор не научился работать.Чего ждать?"
186,Мусор/Свалки/ТКО,2022-02-23,Мусор тоже регулярно вывозят!
187,Мусор/Свалки/ТКО,2022-02-23,"Уважаемые! По поводу мусорной реформы..Верните обратно подборку мусора в контейнеры в область ЖКС(дворников),ибо подборка мусора НЭО осуществляется не всегда качественно и не постоянно(иногда машина приезжает только с водителем,а он подборку не делет) и подборка дворниками ,позволит улучшить контроль со стороны ЖКС,за своевременным вывозом контейнеров...Ибо жалобы жильцов это не правильная организация процесса.!!"
188,Мусор/Свалки/ТКО,2022-02-23,"Мусорная реформа , после которой почти каждый МКД должен платить на 1 млн больше востребована?"
189,Мусор/Свалки/ТКО,2022-02-23,Катерников 7 !!!!!!!! История продолжается......
190,Мусор/Свалки/ТКО,2022-02-23,"Ситуация с мусором это просто КОШМАР!!! На портале Наш Санкт-Петербург заявку не оставить! Невский экологический оператор не решает проблему! От слова никак совсем! Забрали у нас один из контейнеров, теперь на мусорной площадке один контейнер... один!!!!! На огромный дом!!!! Это просто издевательство!!!! Почему я должна платить БЕШЕНЫЕ деньги за то, что мусор не вывозят неделями, вокруг контейнеров набросан мусор, и пока не напишешь его ни кто не убирает!!!! Все газоны в мусоре, дорога в мусоре, мусор летает по всему двору... ну что за издевательство?????? Можно решить проблему с вывозом мусора, с возвращением обратно контейнера, и впоследствии, чтобы они вывозились ОБА!!!!! А не один из них.... за что мы платим деньги????? Я каждую неделю оставлю заявки на вывоз мусора и уборку..."
191,Безопасность,2022-02-23,"Здравствуйте! 2 часа назад на мусорной площадке у дома ул. Токарева 14, обнаружено, то что вы видите на фото!"
192,Образование,2022-02-23,"Добрый день! Озадачилась детским летним отдыхом , ужаснулась , для детей офиц.неработающих граждан цена в лагерь пионер(лен обл) 73000 !! Это при 8-ми местном размещении с туалетом на этаже (на базе дол Металург), получается комната без удобств с едой как в столовой за 21 день 584 000 руб . И таких комнат там сколько? Не понятно это ценообразование , только как нехватка предложения (Сколько за последнее время было построено детских лагерей государством , на деньги налогоплательщиков ? Или это деньги только беженцам помогать ? ) В общем как вы решаете проблему нехватки детских лагерей по доступным ценам для детей официально неработающих граждан ?"
193,Социальное обслуживание и защита,2022-02-23,"Здравствуйте, хотелось бы узнать, чем наши дети достигшие 18 возраста отличаются от тех которые живут в Ленинградской области?"
194,Торговля,2022-02-23,"Здравствуйте! Сегодня навещала свою маму и зашла в ларёк, рядом с её домом на пр. Луначарского, 76. Подсунули просроченную ряженку и нахамили. Книгу жалоб не дают, возможность пожаловаться хозяину лавки тоже. Продавец так и сказала: "" кто ты такая, чтобы давать тебе контакт начальства или книгу жалоб "" . Я не знаю, куда обратиться. В полиц, в Роспотребнадзор. Они за высокие цены травят людей просрочкой."
195,Роспотребнадзор,2022-02-23,"Здравствуйте.<br>Пыталась звонить в Роспотребнадзор, не получилось. Ситуация такова. Невестка вчера 22 февраля в 10.00-10.30 ела в Столовой номер 1 по адресу Невский 118метро площадь Восстания. В 15. 00 у нее заболел живот и началась дикая диарея. Самостоятельно применили все средства, не помогло, ночью температура 39. В 8.30"
196,ЖКХ,2022-02-23,"Здравствуйте !Пишу вам от лица граждан и от себя Московского района т.к встретились у дверей петроэлектросбыт в очереди где ,как 90-е больше двухсот человек стояли на улице ,чтоб попасть и оплатить после объяснения. Откуда такие цены тарифы. Отопления только у кого-то 5т рублей у нас 3500т.р и так у многих и это не за хоромы ,а за обычную Однокомнатную или Двухкомнатную. (Обьясняют тем что мол снег топят,или обогрев самого дома ?)Квартплата получается за все больше 7т.р это как ?<br>Скоро так людей доведете ,что у нас война будет. А не в Украине .Петроэлектросбыт вообще не выполняет обязательства рабочие ,за четыре года ,ни разу счётчики ,не проверили и сказали неправильно плачу по квитанции .теперь пени 125 т.рублей оплатите за 30дней а то отключим. Как это понимать и куда обращаться скоро за самое как за сьемное платить платить ,а пенсионеры у них пенсия 15т.р / СПАСИБО ЖДЁМ ХОТЬ КАКОЙ-ТО ОТВЕТ."
197,Благоустройство,2022-02-23,"И ещё возле этой же мусорной площадки открыт люк. Он прикрыт досками дсп, но в тёмное время суток ребёнок может не заметить, и доски могут соскользнуть."
198,Общественный транспорт,2022-02-23,"[club176831236|Комитет по развитию транспортной инфраструктуры] а на остановках, где трамвайные пути совмещены с проезжей частью, вы планируете при кап. ремонтах путей делать повышенные посадочные площадки, как этого требует СП 98.13330.2018? Москва и Ульяновск умеют их делать, а у вас лапки"
199,Дороги,2022-02-23,"Создайте безопасность для движения пешеходов ""лежачими полицейскими"" перед переходами на участке между пр Луначарсконо ипр.Просвещения.Только тогда вы будете иметь право на передвижные радары,которые собирают деньги себе в карман.А вообще кто их разрешил?"
200,ЖКХ,2022-02-23,"Добрый вечер,Александр Дмитриевич! Вы,наверное, празднуете День защитника отечества в тепле и с ручки моете теплой водичкой!? А мы на ул. Краснопутиллвской в доме 61сидим как всегда без отопления и горячей воды. Как праздник, так у нас авария. Сколько можно к вам обращаться? Ваша администрация отправляет наши обращения в Админ.Кировского района, а она даже ни разу не подняла свои мягкие места и не проверила, а отписывается. В городе есть хозяин? Или день прошел и ладно."
201,Мусор/Свалки/ТКО,2022-02-23,Лыжный 8 к1 ничего с мусорки так и не меняется. Примите меры к оператору
202,Общественный транспорт,2022-02-23,Ээээ??? В документах на маршрут фигурировал маршрут до Сердобольской. Когда успели переделать то?
203,Физическая культура и спорт,2022-02-23,"У меня такой вопрос - когда будет пропагандироваться здоровый образ жизни и помощь в нем для людей?<br>То есть, бесплатные центры физической культуры, а не платные фитнес-центры, и т.д.?<br>Про мое предложение - делать бесплатно ПЦР-тесты и тесты на антитела, что показывало бы реально, как здоровье людей, я уже не говорю, хотя это - первостепенно, но мне сказали, что этого не будет.<br>Хотя я считаю, что это очень бы помогло населению, а не просто прививки.<br>Кстати, я не против них, но проверенных и нужных.<br>Как и за работу медучреждений, молодцы, что делаете хоть что-то."
204,Благоустройство,2022-02-23,А в Муринском парке от Гражданского пр. до пр.Руставели не хотите фонари установить?
205,Мусор/Свалки/ТКО,2022-02-23,"Ну,да. Особенно,когда видишь,как мусор,который,таки,люди собрали раздельно,закидывают в одно пухто🤦‍♂️"
206,Благоустройство,2022-02-23,Здравствуйте подскажите как дела с площадкой?
207,ЖКХ,2022-02-23,"На собрании собственников МКД по адресу Невский пр., д. 136, лит Б, парадная 5 было принято решение об отказе от установки умного домофона по программе Безопасный город. Исправный домофон на двери в парадную есть. Просим исключить нас из данной программы. Заявление с подписями в приложенном файле."
